,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,durationSecs,tagsCount,likeRatio,commentRatio,titleLength
0,wHOR0w2pl4M,ClimateScience - Solve Climate Change,ClimateScience Olympiad 2023 | Trailer,"The global student competition to find the best solutions to climate change is back. Take part in ClimateScience Olympiad 2023 to be in with a chance to win a sponsored trip to COP28, Dubai, and cash prizes. 

For more information and to register, visit https://climatescience.org/olympiad.

-----------------------------------------------------------------------

Script: Mia Foulkes and Julia Wojtania
Animation and editing: Bruna Hernandes
Voice: Ankur Shah 
Soundtrack: ashamaluevmusic.com

-----------------------------------------------------------------------

Instagram: https://www.instagram.com/climate_science/
Facebook: https://www.facebook.com/ClimateScienceEducation/
Olympiad: https://climatescience.org/olympiad
Website: https://climatescience.org/",,2023-02-08 16:13:28+00:00,14734,223,,13,PT1M15S,hd,true,Wednesday,0 days 00:01:15,0,15.135061761911224,0.8823130175105198,38
1,nWn90yKQFHs,ClimateScience - Solve Climate Change,COP27 | ClimateScience Olympiad 2022 Finals Presentations,"Youth present the winning climate solutions of their submissions to the global ClimateScience Olympiad 2022 at COP27. This panel discussion was held at the SDG Pavilion of this year's UN COP27 global climate conference in Sharm El Sheikh.

Remote attendees - ClimateScience Olympiad 2022 Winners
🥇 Judith Ko & Song Yee Ho (Singapore)
🥈 Alexandra Pilz & Eleonore Vecchioli (UK)
🥉 Netra Karthigeyan (India)

Host: Michael Bäcklund (President, ClimateScience)
Moderator: Nevine Ghazi

In-person panellists
Mohamed Ali Radiddaoui (COP Party Delegate & Negotiator from Tunisia, NGYA-UN Women, Founder of Nafas)
Dr. Ryna Cui (Olympiad Judge & Assistant Professor of Global Sustainability, University of Maryland)
Evelyn Addor (Youth Negotiator)


DISCUSSIONS & SOCIAL MEDIA
▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀
Website:           https://climatescience.org/
Olympiad:         https://climatescience.org/olympiad/
Instagram:       https://www.instagram.com/climate_science
Twitter:             https://twitter.com/climatescience
Facebook:        https://www.facebook.com/ClimateScienceEducation",,2022-12-15 11:01:35+00:00,4843,79,,0,PT1H1M11S,hd,false,Thursday,0 days 01:01:11,0,16.3122031798472,0.0,57
2,lq_ForYjl8k,ClimateScience - Solve Climate Change,A conversation with Dr. Barbara Buchner on the occasion of EarthDay 2022,,,2022-06-27 19:28:34+00:00,728,22,,2,PT49M16S,hd,false,Monday,0 days 00:49:16,0,30.21978021978022,2.7472527472527473,72
3,42eKmxAjIPA,ClimateScience - Solve Climate Change,ClimateScience Olympiad 2022 Trailer [SPANISH],"Winners get $15,000 and a chance to speak at the UN Climate Summit. The ClimateScience Olympiad is a fun, online student competition around systemic solutions to climate change. More information on https://climatescience.org/olympiad",,2022-06-16 16:40:59+00:00,1080,23,,2,PT2M58S,hd,false,Thursday,0 days 00:02:58,0,21.296296296296294,1.8518518518518519,46
4,rCzGbc_7hUU,ClimateScience - Solve Climate Change,Tackling Climate Denial #Shorts,"Have you ever had a hard time talking to someone who doesn’t believe in climate change? Let us know in the comments if these tips were useful to you!

Learn more at https://climatescience.org

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music
Sneaky Adventure by Kevin MacLeod http://incompetech.com
Creative Commons — Attribution 3.0 Unported — CC BY 3.0
Free Download / Stream: https://bit.ly/sneaky-adventure
Music promoted by Audio Library https://youtu.be/a3A90Oc1Rrc

Adapted from
https://www.hsph.harvard.edu/news/features/how-to-talk-to-a-climate-skeptic/ 
https://www.climaterealityproject.org/blog/starting-conversation-five-tips-how-talk-climate-deniers-your-family 
https://owl.purdue.edu/owl/general_writing/academic_writing/logic_in_argumentative_writing/fallacies.html

#climatechange #climateemergency #climateaction #solutions",,2022-02-11 11:27:52+00:00,1790,126,,13,PT1M,hd,false,Friday,0 days 00:01:00,0,70.39106145251397,7.262569832402235,31
5,Xp5p5ATmKi4,ClimateScience - Solve Climate Change,Floating Communities??? #Shorts,"Floating cities may sound like fantasy, but some designers are actually beginning to create structures that embrace rising sea levels. Global sea level rise is expected to exceed two meters by the end of the century if no serious climate action is taken [8]. This has the potential to displace approximately 200 million people [8]. With increasing sea level rise, adaptation solutions to combat it have become essential [7] one of them being floating structures! 

Floating architecture may serve as a solution due to its relatively low economic and logistical maintainability. These afloat settlements could provide safe, climate-resilient housing for flood-stricken communities. Do you think floating architecture could be the game changer in combating sea level rise? Let us know in the comments! 
 
Learn more at https://climatescience.org/advanced-water-adaptation

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music
In My Mind (Instrumental) · The Hit Mafia 
Pop Music Instrumental (The Best Pop, R & B, Charts Instrumentals 2018) 
℗ Back On My Grind Records

Open source videos used
YouTube video by Verge Science
YouTube video by Undecided with Matt Ferrell

#climatechange #climateemergency #climateaction #solutions
[1]:https://www.climate.gov/news-features/understanding-climate/climate-change-global-sea-level [2]:https://www.ipcc.ch/srocc/chapter/chapter-4-sea-level-rise-and-implications-for-low-lying-islands-coasts-and-communities/ 
[3]:https://climate.nasa.gov/vital-signs/sea-level/ [4]:https://coastadapt.com.au/climate-change-and-sea-level-rise-based-observed-data 
[5]: https://www.sciencedirect.com/topics/engineering/land-reclamation 
[6]:  Applications of Sustainable Factors in Floating Architecture 
[7]: https://www.sciencedirect.com/science/article/pii/S1110016819300328 
[8]: https://royalsocietypublishing.org/doi/full/10.1098/rsta.2010.0291  [9]:https://climate-adapt.eea.europa.eu/metadata/publications/ranking-of-the-worlds-cities-to-coastal-flooding/11240357 
[10]: https://www.bbc.com/news/world-47827136 
[11]: https://www.tandfonline.com/doi/full/10.1080/1064119X.2018.1503761 
[12] https://ocean.si.edu/through-time/ancient-seas/sea-level-rise",,2022-02-09 09:56:14+00:00,780,54,,4,PT54S,hd,false,Wednesday,0 days 00:00:54,0,69.23076923076924,5.128205128205129,31
6,u7N60AwiddI,ClimateScience - Solve Climate Change,ClimateScience - Solve Climate Change Live Stream,,,2022-02-05 10:49:24+00:00,0,0,,0,P0D,sd,false,Saturday,0 days 00:00:00,0,,,49
7,36hohyrQrP8,ClimateScience - Solve Climate Change,Undo Climate Change? #Shorts,"1 trillion tonnes of carbon dioxide. That’s the amount we’d need to remove if we want to undo climate change. That's roughly the same weight as one blue whale for every person on Earth! [3,11]

Think of carbon removal as a pollution cleanup operation. For it to work, CO₂ must be captured from the atmosphere and stored away safely and permanently without emitting more along the way [1]. 

There are lots of ways to do this: soil carbon sequestration; direct air capture; geological carbon storage; enhanced weathering and more [4,5,6,7].

But it’s really important to remember: we can’t let dreams of carbon sequestration delay emissions reduction today. 

Were there any carbon removal methods you were curious about and would like us to cover more deeply? Let us know in the comments! Bye!

Learn more at https://climatescience.org/advanced-carbon-sequestration-undoing-climate-change

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music
♪ Night (Prod. by Lukrembo) 
Link : https://youtu.be/5eSSSspxGUo

[1]https://link.springer.com/article/10.1007/s10584-012-0684-1 [2]https://www.theworldcounts.com/challenges/climate-change/global-warming/global-co2-emissions/story [3]https://www.ipcc.ch/site/assets/uploads/sites/2/2019/06/SR15_Summary_Volume_Low_Res.pdf 
[4]https://iopscience.iop.org/article/10.1088/1748-9326/aabf9f/metaerlaabf9fs1 
[5]https://www.frontiersin.org/articles/10.3389/fclim.2019.00008/fullnote2a [6]https://link.springer.com/article/10.1007%2Fs10584-005-3485-y 
[7]https://www.nap.edu/read/25259/chapter/7 
[8]https://www.sciencedirect.com/science/article/pii/S2542435119303836
[9]https://www.tandfonline.com/doi/full/10.1080/14693062.2017.1413322 
[10]https://iopscience.iop.org/article/10.1088/1748-9326/aabf9f/metaerlaabf9fs1 [11]https://www.worldwildlife.org/species/blue-whale:~:text=Facts,-EN%20Status&text=Blue%20whale%20at%20sunset%2C%20Mexico,tons%20(approximately%2033%20elephants)

#climatechange #climateemergency #climateaction #solutions",,2022-02-04 13:37:50+00:00,1197,82,,7,PT56S,hd,false,Friday,0 days 00:00:56,0,68.50459482038428,5.847953216374268,28
8,rndxwsxrBJ0,ClimateScience - Solve Climate Change,Air Pollution: New Air Quality Guidelines From WHO #Shorts,"The World Health Organization published new Air Quality Guidelines! By achieving these guideline levels, countries will be both saving lives as well as mitigating climate change!

Learn more at https://climatescience.org

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music
♪ Imagine (Prod. by Lukrembo) 
Link: https://youtu.be/O7yALYb04Ts

Open source videos used
Video by Enrike Torres from Pexels
Video by Kelly L from Pexels
Video by Mike from Pexels
Creative Commons videos from YouTube

#climatechange #climateemergency #climateaction #solutions",,2022-02-01 09:45:53+00:00,450,37,,0,PT56S,hd,false,Tuesday,0 days 00:00:56,0,82.22222222222223,0.0,58
9,HihpqcqCkoI,ClimateScience - Solve Climate Change,Overfishing: Are We Emptying Our Oceans? #Shorts,"Unsustainable fishing practices are responsible for the shrinking of wild fish populations and other negative impacts. Did you know about this? Let us know in the comments! 

Learn more at https://climatescience.org/advanced-food-fishing-aquaculture

Scriptwriting and reviews by Bruna Hernandes, Ghislaine Fandel & JP Arellano 
Filming, animation and voice over by Bruna Hernandes 

Music
♪ Night (Prod. by Lukrembo) 
Link : https://youtu.be/5eSSSspxGUo

Open source videos used
Video by Anna Auza from Pexels
Video by ROMAN ODINTSOV from Pexels
Video by Vimeo from Pexels
Video by Kelly L from Pexels
Creative Commons videos from YouTube

#climatechange #climateemergency #climateaction #solutions",,2022-01-28 09:37:14+00:00,929,47,,7,PT1M,hd,false,Friday,0 days 00:01:00,0,50.59203444564048,7.534983853606028,48
