,video_id,comments
0,wHOR0w2pl4M,"[""I'm a semi finalist from but i didn't receive any date selection email and i haven't selected any date yet. AFAIK there are 2 slots left for semi final but i don't see the option to select a date and take the semi final. What should I do?"", 'I checked all your channel, but other than you pomised , where is the solution video?', 'Woooww!!I love this competition!!❤️', 'Help me getting to cso', ""I'll Win this olympiad! Hi from Brazil 🇧🇷"", 'It was great participating a few years ago!', 'Excellent video! Thank you so much for having me for the voiceover. Wishing the absolute best to all participants and excited to see the solutions!', 'So proud of the entire team for rolling this out year after year. Really great!', 'so exciting!', ""Cannot wait to see this year's climate solutions again!!!""]"
1,lq_ForYjl8k,"['Wow🍢🍣', 'I liked when they said ""be selfish"" jajaja😁']"
2,42eKmxAjIPA,"['wow\nich hab schon Zertifikat von Climate Science bekommen 😊😊❤🙏', 'Wow🍺🍻']"
3,rCzGbc_7hUU,"['For the big picture, search:\nMarcott reconstruction model', ""Sadly climate change deniers are psychopaths, and you're probably not going to change their tiny minds."", 'Calling out a climate deniers fallacies will not change their mind. It will probably solidify them into their denialism. Some say a better strategy is to tell stories about humans, but I dont know if this works any better. Most people believe in man-made climate change anyway, so dont worry about the few deniers out there. Worry about the climate denying-politicians who have actual power', 'Is she brazilian?', 'If we cannot and do not explain the physical science and quantum mechanics of such things as the ‘greenhouse effect’ so that the layperson can understand, then we do a disservice to them and to ourselves. For example, when photons of visible light strikes the surface of the Earth they cause the molecules of the surface struck to vibrate faster, increasing its temperature. This energy is then re-radiated by the Earth as longer wave photons, infrared radiation (heat). These photons only interact with greenhouse gas molecules in the atmosphere which slows down their escape back into space, thus causing the atmosphere to retain more infrared photonic energy that we call heat.', 'Hmm ask Climatologist expert Dr John Christy what he thinks about climate change', '❤❤', ""it's good absolutely right🍐🍑🍒🍓🍅"", 'Whoa! 😯', ""Yeah, these tips would help me definitely as many of them in my place aren't aware of climate change  🙄""]"
4,Xp5p5ATmKi4,"['❤❤', 'it just nonsense are wrong to say/think🍫🍬🍭🍮🍯', 'It is better to live on earth than to hang in the air. It is made for us, due to which the nature of our earth remains balanced.But some people do not like the nature given by God, it will spoil the environment of our earth.', 'No because of sea waters rise the houses will be damaged worse than in cities']"
5,36hohyrQrP8,"['❤❤', 'Plant needs co2 so it not the problem we need to reduce the CO', ""it's happen and can feel right now all over the world /earth of course🥙🥚🍳🥘🍲"", 'LMAO...🍔Eat meat and be happy!💪😎', 'All scope for jobs related to carbon.. pls have a video on it', 'Chances of carbon sequestration in coal mines (abondoned)']"
6,HihpqcqCkoI,"['I absolutely love love your smooth voice and beautifulness. Marry me?', 'I searched how many fish are there in 2050 and Google responded in 2050 there are fishless oceans so yeah people that over fishing is a dumbass shit', 'Fish farming is 12 times less CO2 pollutive then beef farm. Subsidizing and promoting fish farming as green solution is good', '❤❤', '🐟🐠🐷🐖🐽', 'Because I am eating them.....🤤🤤', 'Mam   I am from india and I have some solution regarding climet change \n\nI am propose that in climet science Olympiad \n\n🤗🤗']"
7,xHuMQkJS1uw,"['W rizz', 'Ozone needs sunlight. There is no sunlight in the poles in winter.', 'Nice information about ozone layer depletion', 'Not 43 almost every country did', 'Come back from Ozone Layer', 'I’m surprised', 'And good news', ""We've finished smallpox and the ozone, and now we need to act to the climate"", '43 countries did not sign. 197 did.', '🌍']"
8,TCVg8PkGeKI,"['Right now, I am needing TOILET justice as someone has weed all over the seat.', 'India🇮🇳🇮🇳🇮🇳', 'Unjustified unproven idiotic  drivel. These conditions have always existed . Stop with your propaganda', ""These videos are really underrated. I'm a frequent viewer.""]"
9,nwsQ858oHiU,['Please can you explain environment and environmental problem please 🙏']
10,vEgRtuet3cA,[]
11,d90Qujj5eUA,[]
12,k4HujPqpH2o,[]
13,iwe6WL-IvtQ,[]
